"PlotVisit","Species","Biomass","LifeForm"
"1095.2015-08-07","SALSCO",49.7973089753411,"shrub"
"122.2015-07-22","SALSCO",4.44798438470393,"shrub"
"125.2015-07-22","SALSCO",90.8124041059101,"shrub"
"548.2015-07-27","SALI SP",173.072301780414,"shrub"
"623.2015-07-29","SALI SP",25.3405231488265,"shrub"
"719.2014-07-29","SALI SP",36.7286893324437,"shrub"
"727.2015-08-12","SALI SP",42.6268933714352,"shrub"
"791.2014-08-21","SALI SP",6.80330179178136,"shrub"
"796.2014-07-31","SALI SP",30.0703526284477,"shrub"
"889.2014-08-14","SALI SP",48.7279402691141,"shrub"
"891.2014-08-14","SALI SP",38.5832511964332,"shrub"
"892.2014-08-14","SALI SP",174.250633284609,"shrub"
"896.2014-08-15","SALI SP",147.198593562931,"shrub"
"917.2015-08-10","SALI SP",4.64457441900327,"shrub"
"918.2015-08-10","SALI SP",35.6107662686062,"shrub"
"122.2015-07-22","SHECAN",19.2558776562133,"shrub"
"125.2015-07-22","SHECAN",37.4086199164473,"shrub"
"790.2014-08-21","SHECAN",9.5386425800597,"shrub"
"1017.2015-08-26","PHYMAL",17.2502237353004,"shrub"
"1018.2015-08-26","PHYMAL",10.1819554470056,"shrub"
"1019.2015-08-26","PHYMAL",29.2608781711129,"shrub"
"1020.2015-08-26","PHYMAL",9.01954988170048,"shrub"
"1035.2015-07-28","PHYMAL",13.5711808441275,"shrub"
"1041.2015-08-13","PHYMAL",10.1641280567839,"shrub"
"1042.2015-08-13","PHYMAL",18.938989280997,"shrub"
"1044.2015-08-13","PHYMAL",223.901005776321,"shrub"
"1051.2015-08-24","PHYMAL",21.8201373781469,"shrub"
"1052.2015-08-24","PHYMAL",171.756412540155,"shrub"
"1053.2015-08-24","PHYMAL",263.076798653342,"shrub"
"1055.2015-08-24","PHYMAL",171.4150663348,"shrub"
"106.2014-08-22","PHYMAL",9.93519598289202,"shrub"
"1073.2015-08-26","PHYMAL",35.2000015802818,"shrub"
"1081.2015-07-28","PHYMAL",18.6801639823913,"shrub"
"1083.2015-07-28","PHYMAL",10.5682770671698,"shrub"
"1084.2015-07-28","PHYMAL",39.8246678934385,"shrub"
"1085.2015-07-28","PHYMAL",4.6131102260357,"shrub"
"1086.2015-08-03","PHYMAL",87.8231110447155,"shrub"
"1088.2015-08-03","PHYMAL",53.2114536599155,"shrub"
"109.2014-08-22","PHYMAL",38.7607521724097,"shrub"
"1090.2015-08-03","PHYMAL",10.2132287436645,"shrub"
"1092.2015-08-07","PHYMAL",83.1810087668767,"shrub"
"1093.2015-08-07","PHYMAL",45.8041162346226,"shrub"
"1094.2015-08-07","PHYMAL",62.3294996437282,"shrub"
"1103.2015-08-11","PHYMAL",49.1759860331217,"shrub"
"122.2015-07-22","PHYMAL",45.626382773851,"shrub"
"123.2015-07-22","PHYMAL",8.53484127489583,"shrub"
"125.2015-07-22","PHYMAL",166.608535347834,"shrub"
"131.2015-08-20","PHYMAL",15.7745746042331,"shrub"
"132.2015-08-20","PHYMAL",6.16534236534237,"shrub"
"133.2015-08-20","PHYMAL",49.0202090557961,"shrub"
"134.2015-08-20","PHYMAL",12.0740344486342,"shrub"
"135.2015-08-20","PHYMAL",34.1487927082364,"shrub"
"144.2014-08-20","PHYMAL",45.9267792428287,"shrub"
"145.2014-08-20","PHYMAL",108.684432885558,"shrub"
"146.2014-07-22","PHYMAL",30.8537405788578,"shrub"
"161.2014-08-04","PHYMAL",46.6603444579077,"shrub"
"164.2014-08-04","PHYMAL",100.844196239254,"shrub"
"165.2014-08-04","PHYMAL",55.192884532502,"shrub"
"171.2014-08-22","PHYMAL",25.8548415011081,"shrub"
"173.2014-08-22","PHYMAL",15.4817751129538,"shrub"
"174.2014-08-12","PHYMAL",5.71274340120242,"shrub"
"175.2014-08-22","PHYMAL",89.6039515336771,"shrub"
"176.2015-08-18","PHYMAL",13.4074756032002,"shrub"
"179.2015-08-18","PHYMAL",47.7828091872149,"shrub"
"300.2014-07-17","PHYMAL",19.0385847722485,"shrub"
"303.2014-07-17","PHYMAL",40.1010570291861,"shrub"
"447.2014-08-28","PHYMAL",4.42314224309396,"shrub"
"459.2014-08-22","PHYMAL",93.0895126702472,"shrub"
"462.2014-08-07","PHYMAL",154.060072215007,"shrub"
"464.2014-08-12","PHYMAL",24.812111351394,"shrub"
"465.2014-08-12","PHYMAL",19.8684431390225,"shrub"
"467.2014-08-12","PHYMAL",58.1375162266688,"shrub"
"468.2014-08-12","PHYMAL",59.1554363295995,"shrub"
"473.2014-07-21","PHYMAL",144.079654795055,"shrub"
"505.2015-07-17","PHYMAL",63.7252712974588,"shrub"
"528.2014-08-06","PHYMAL",62.2474594087552,"shrub"
"573.2014-08-25","PHYMAL",296.008323659669,"shrub"
"575.2014-08-25","PHYMAL",220.062215301924,"shrub"
"581.2014-08-20","PHYMAL",26.0079746263435,"shrub"
"646.2014-08-15","PHYMAL",12.2502290491053,"shrub"
"673.2014-07-15","PHYMAL",5.01351061153647,"shrub"
"677.2014-07-15","PHYMAL",136.121047409646,"shrub"
"681.2014-07-10","PHYMAL",4.30841022128738,"shrub"
"681.2015-09-23","PHYMAL",38.9311314659224,"shrub"
"700.2014-07-28","PHYMAL",47.8826505212375,"shrub"
"702.2014-07-29","PHYMAL",176.782351284328,"shrub"
"711.2014-07-30","PHYMAL",9.82028556999948,"shrub"
"712.2014-07-30","PHYMAL",161.726148274733,"shrub"
"713.2014-07-29","PHYMAL",90.456760497839,"shrub"
"720.2014-07-29","PHYMAL",79.8360227695833,"shrub"
